PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthCap
10104,68389X10,ORCL,8045,2013-12-31,38.260000,172070868.34
10104,68389X10,ORCL,8045,2014-01-31,36.900000,165954392.10
10104,68389X10,ORCL,8045,2014-02-28,39.110000,175893665.99
10104,68389X10,ORCL,8045,2014-03-31,40.910000,182413026.26
10104,68389X10,ORCL,8045,2014-04-30,40.880000,182279259.68
10104,68389X10,ORCL,8045,2014-05-30,42.020000,187362389.72
10104,68389X10,ORCL,8045,2014-06-30,40.530000,180556651.17
10104,68389X10,ORCL,8045,2014-07-31,40.390000,179932966.71
10104,68389X10,ORCL,8045,2014-08-29,41.530000,185011540.17
10104,68389X10,ORCL,8045,2014-09-30,38.280000,169630317.12
10104,68389X10,ORCL,8045,2014-10-31,39.050000,173042421.20
10104,68389X10,ORCL,8045,2014-11-28,42.410000,187931602.64
10104,68389X10,ORCL,8045,2014-12-31,44.970000,197479773.99
10104,68389X10,ORCL,8045,2015-01-30,41.890000,183954363.63
10104,68389X10,ORCL,8045,2015-02-27,43.820000,192429701.94
10104,68389X10,ORCL,8045,2015-03-31,43.150000,188439070.50
10104,68389X10,ORCL,8045,2015-04-30,43.620000,204940282.20
10104,68389X10,ORCL,8045,2015-05-29,43.490000,189923874.30
10104,68389X10,ORCL,8045,2015-06-30,40.300000,174743903.10
10104,68389X10,ORCL,8045,2015-07-31,39.940000,173182915.38
10104,68389X10,ORCL,8045,2015-08-31,37.090000,160825095.93
10104,68389X10,ORCL,8045,2015-09-30,36.120000,154038363.36
10104,68389X10,ORCL,8045,2015-10-30,38.840000,165638151.52
10104,68389X10,ORCL,8045,2015-11-30,38.970000,166192553.16
10104,68389X10,ORCL,8045,2015-12-31,36.530000,153470566.60
10104,68389X10,ORCL,8045,2016-01-29,36.310000,152546298.20
10104,68389X10,ORCL,8045,2016-02-29,36.780000,154520871.60
10104,68389X10,ORCL,8045,2016-03-31,40.910000,169770977.15
10104,68389X10,ORCL,8045,2016-04-29,39.860000,165413618.90
10104,68389X10,ORCL,8045,2016-05-31,40.200000,166824573.00
10104,68389X10,ORCL,8045,2016-06-30,40.930000,168743338.90
10104,68389X10,ORCL,8045,2016-07-29,41.040000,169196839.20
10104,68389X10,ORCL,8045,2016-08-31,41.220000,169938930.60
10104,68389X10,ORCL,8045,2016-09-30,39.280000,161269735.60
10104,68389X10,ORCL,8045,2016-10-31,38.420000,157738880.90
10104,68389X10,ORCL,8045,2016-11-30,40.190000,165005872.55
10104,68389X10,ORCL,8045,2016-12-30,38.450000,157735472.85
10104,68389X10,ORCL,8045,2017-01-31,40.110000,164545378.83
10104,68389X10,ORCL,8045,2017-02-28,42.590000,174719214.27
10104,68389X10,ORCL,8045,2017-03-31,44.610000,183556053.24
10104,68389X10,ORCL,8045,2017-04-28,44.960000,184996192.64
